Feature,Score_(R^2)_Left,Score_(R^2)_Right,Score_(LASSO)_Left,Score_(LASSO)_Right,Score_(R^1)_Left,Score_(R^1)_Right,R1_Left,R1_Right,R2_Left,R2_Right,Coef_Left,Coef_Right,explained_variance_left,explained_variance_right,max_error_left,max_error_right,mean_absolute_error_left,mean_absolute_error_right,mean_squared_error_left,mean_squared_error_right,median_absolute_error_left,median_absolute_error_right,mean_absolute_percentage_error_left,mean_absolute_percentage_error_right,mean_pinball_loss_left,mean_pinball_loss_right,d2_pinball_score_left,d2_pinball_score_right,d2_absolute_error_score_left,d2_absolute_error_score_right
E3_BP_8_10.5,0.004375515327331714,0.011496470570430461,0.0025496327199900914,0.00928849886871419,-3.5552983351956116e+16,-6.548008460622703e+16,28.19748719745079,28.24405624379974,1065.236529325425,1068.2851742157077,0.00290300186454628,0.0042791218198479095,0.004375515327331603,0.011496470570430461,3.135096723968158,2.305425724713849,0.7894348142291308,0.7269749758423651,1.0225671867937607,0.8395640950198924,0.5937443575858017,0.6201434596187989,0.9640863132775651,211.8595143744248,0.39471740711456543,0.3634874879211826,-0.06878757278107361,-0.04270435139375728,-0.00903549342409593,-0.012122549257598925
E3_BP_10_15.5,0.013750220454463724,0.008984969832346423,0.012053545795344012,0.007096517240783307,-6.978836449887674e+16,-2.240826099599291e+16,28.296027159615186,28.202357618200956,1068.684884942838,1067.640227317945,0.005338566780947966,0.004090481230554751,0.013750220454463613,0.008984969832346423,4.062588059539079,4.017056425880224,0.7748064911758586,0.7463450189868353,1.0900777660738228,0.9841091969552636,0.6193643144255345,0.6751196526536937,1.0927381543892412,1.4542984691585017,0.3874032455879294,0.3731725094934176,-0.04262442813882594,-0.04233191426039573,-0.019033975756119093,-0.016978922990942502
E3_BP_17.5_20.5,0.04542638985185288,0.0022537148384913497,0.0437301791385184,0.0,-4.3861428029181576e+16,-6.224195566727138e+16,28.373693636741773,28.156274401260667,1075.8353159175026,1064.064238084513,0.009704727533314708,0.0017667837247879886,0.04542638985185299,0.0022537148384913497,4.316944204975712,2.7946411947911294,0.7304395093640487,0.6910245227950294,1.0553554513577852,0.736917380169481,0.4852674096601565,0.581112717576342,2.8061031339667037,1.2293551721435003,0.3652197546820243,0.3455122613975147,-0.058785988637317654,-0.09459456115553655,-0.029610988544302774,-0.01143686385897813
E3_BP_12.5_30,0.023442736334574832,0.013061854691412855,0.02202322389029776,0.010912481955479891,-2.2165099713365696e+16,-1.1599088769634784e+17,28.361969000150594,28.218022046868338,1072.4500367755759,1068.758030387669,0.007620854768205079,0.004622912698465821,0.023442736334574832,0.013061854691412855,6.0156639860273495,5.4143918708381085,0.7382461213467315,0.6438787708359808,1.2901126877942402,0.861087599527211,0.5211458123787825,0.5053324974650024,1.1565614640935749,2.0390367507083687,0.3691230606733657,0.3219393854179904,-0.019405120112935492,-0.09033363350336798,-0.07419806487131209,-0.025515767653135013
E3_RTP,0.011440324721440409,0.018445139055355164,0.009876274797434248,0.015810841377581597,-inf,-1.2406464085272818e+17,28.27214589224402,28.234012784873094,1068.7213538229064,1069.5148475567707,0.0050718103537248285,0.00496223900580532,0.011440324721440742,0.018445139055355164,5.39776614122905,2.467462954201657,0.7659778248598712,0.6886971040827481,1.1852812528838432,0.6987452441846402,0.654482551778417,0.6246123291860589,1.0309014645959629,1.3994153868698376,0.38298891242993566,0.34434855204137405,-0.010326205087193063,-0.08821563647249087,-0.021482462645934675,-1.8269929118464034e-06
E3_SPEC_MOM,0.02129277373927374,0.004148363893095586,0.019843449301389704,0.0020793698577011854,-inf,-8.537570268157803e+16,28.347210223447814,28.17271845209179,1071.303143305074,1065.3770880398943,0.007187906975474631,0.0026553877005720465,0.02129277373927385,0.004148363893095697,4.368797876577871,3.4961842435285653,0.7913984000561763,0.7108955314547976,1.2663574674557636,0.9026191399082248,0.6384752991417254,0.5393922407857168,1.152844716762671,1.1701103838535747,0.39569920002808817,0.3554477657273987,-0.036169837158683604,-0.051943640520796475,-0.018091765717999975,-0.019462115031659843
E3_SPEC_EDGE,0.015322785552842944,0.004070340663212435,0.013540460394807385,0.001975522960988796,-4.623680935235495e+16,-4.496994022878104e+16,28.277310701681028,28.178868809623758,1068.7471709866472,1064.8373209672377,0.00549850379305726,0.0026140349963369724,0.015322785552842944,0.004070340663212435,3.5387046106770326,2.9803282071653587,0.7699975549228236,0.7488999458701469,1.0360389592762813,0.8915620347958816,0.6489967274330297,0.6565776519024034,1.1056275196653211,1.485110829244745,0.3849987774614118,0.37444997293507337,-0.03373371588472507,-0.06036903302440755,-0.03557930772270712,-0.016727106405986625
E3_SPEC_ENT,0.02494470910771751,0.002161895599661845,0.02288932162621926,0.000427765572359351,-6.2675059952051304e+16,-2.0724811141291976e+16,28.354313016024406,28.142913998267733,1071.9485201934792,1062.7738526834107,0.006532982641173938,0.0020938504782224785,0.024944709107717622,0.002161895599661956,3.278767502091413,3.7709233002089717,0.6958329462852942,0.8053206878524612,0.889620274645953,1.0790648898041098,0.5557244218500408,0.6192882908577758,1.1439511684201764,1.0475655800132595,0.3479164731426472,0.4026603439262306,-0.058791217753346725,-0.10298420581363033,-0.008508760769639245,-0.001497251868057381
E3_SLOPE,0.003173597014250684,0.023982769356798328,0.0012988759870014022,0.022038552293360048,-7.062525336916418e+16,-inf,28.180366414657122,28.28325912103258,1062.8862147252803,1072.0673926044121,0.002439926253547563,0.006586374577669036,0.003173597014250795,0.023982769356798328,3.0291106132579633,2.188454257477569,0.7840978241043147,0.8169794809316198,0.9971305399847367,0.9414166396896926,0.6859899947005283,0.7176377057024407,3.9037566913830752,1.282896715146591,0.3920489120521573,0.4084897404658099,-0.061984210577638255,-0.117406720510987,-0.02215210069733109,-0.03250491825570623
E3_INTERCEPT,0.02285456622480797,0.008592243278612521,0.020950220356420135,0.006030870160493751,-6.742742779891104e+16,-4.185674641023692e+16,28.307228238033645,28.182145029094197,1071.9112466605936,1065.9922470759384,0.006496548923060082,0.003434677734605407,0.02285456622480786,0.008592243278612521,3.4878552941900725,2.2723396621967855,0.748594828336014,0.697054854008121,0.9622380243843598,0.7258528746094588,0.5864820983638221,0.6810284450526105,1.142303311135692,1.1841262472446352,0.374297414168007,0.3485274270040605,-0.06088713209202257,-0.1026551454180955,-0.008071919102240255,0.0021523011414288362
E3_MEAN_FREQ,0.03165501662371284,0.013924589003469046,0.029939978753338092,0.01179749121215723,-3.6916060393195736e+16,-6.8415112817509896e+16,27.930103802791297,27.993021747372545,1047.33214995168,1051.9176157856655,0.008056632458496214,0.004798070227550372,0.03165501662371273,0.013924589003469157,3.4632978532045615,2.4114042353031824,0.8197012045395742,0.7595603348232717,1.0588282709974495,0.8693442951226521,0.7435427059063133,0.6322283837256727,1.3573222012095851,1.2182908043437228,0.4098506022697871,0.3797801674116359,-0.041778895259891424,-0.10576462206133375,0.0045787922096462985,-0.008751842669207477
E3_OCC_BAND,0.010142068214884281,0.01497399229235008,0.008047931793854546,0.013317149092498148,-3.2673834958228132e+16,-3.207613515651945e+17,28.019901250224187,27.9720498350784,1053.936986424258,1050.4748521613105,0.004126956720770444,0.005637638621195283,0.01014206821488417,0.014973992292349858,3.1876770013536615,2.531766731818237,0.7255048774685443,0.8902915947939085,0.8864148706914492,1.1148987372813424,0.5574788131066619,0.8328835712732483,2.057405690712966,1.233446134045421,0.3627524387342721,0.44514579739695426,-0.10455232660545266,-0.15388941924447685,-0.0051766504619241704,0.005254300961435865
E3_POWER_BAND,0.021147443989441017,0.04364458830407303,0.01213396823226165,0.042151519237307755,-2.889254832973793e+16,-5.070379053585999e+16,28.227549009945825,28.378465159491903,1069.1780208878115,1079.0390192837965,0.0028724463774774897,0.010138982828364753,0.021147443989440795,0.04364458830407303,1.3498397494500658,6.599164025612785,0.3408199567050578,0.5629251568868286,0.20365455125152954,1.2011812868444043,0.28668398045663335,0.4101191619346357,3.414490300172646,1.0284089018341251,0.1704099783525289,0.2814625784434144,-0.031211319511314617,-0.026182480010783715,0.007961634886598179,-0.15044461724636982
E3_WLT_ENT,1.8272302434896304e-05,0.028218773247700057,0.0,0.0258547387783693,-3.562185804864076e+17,-1.941070699032588e+16,28.15201688280507,28.29667557931172,1063.6453267677548,1074.2957186021658,0.00013046627500433463,0.006479049507552231,1.8272302435007326e-05,0.028218773247700057,2.9083704422976915,5.365722434695012,0.4943525873191241,0.5387553456228066,0.4967366216432527,0.7708747777689688,0.409430073563669,0.36487412590639995,1.3639312216460469,1.6109204487858277,0.24717629365956206,0.26937767281140335,-0.004260196327915189,-0.03635108495120054,-0.06374836397710837,-0.10263330709197183
E3_KURT,0.01515598366422577,0.0009361708747361863,0.012494844951555062,0.0,-2.0317629096255852e+16,-3.063316524764846e+16,28.048354605944223,28.096152004811074,1055.9864526187798,1059.7342315129995,0.004475354515623158,0.001374553061105816,0.01515598366422577,0.0009361708747362973,3.098222800111834,2.8334290237252584,0.6767129888537176,0.8502411343771625,0.6940153459291379,1.075206776507776,0.630117153740777,0.695842648825172,1.3110565075108347,1.1421446011159329,0.3383564944268588,0.4251205671885813,-0.146742780591532,-0.06796612523639611,-0.010064969158725567,-0.015452101855259803
E3_SKEW,0.008692280395883989,0.010135111660724672,0.006276440182007459,0.008500974816502693,-1.2026423530079192e+17,-2.5514303697802896e+16,28.06965604942124,28.003892574417335,1057.1224645211219,1052.8632272182608,0.003557147684429248,0.004670239941789328,0.008692280395883989,0.01013511166072456,3.111063363676476,3.589433395936431,0.6676006153493836,0.8497970226773868,0.7695014062390338,1.1359432455111755,0.5764636249093664,0.7076873805966086,1.2726911451000575,1.0183827937161247,0.3338003076746919,0.4248985113386934,-0.04252425249591907,-0.13534512877814753,-0.00048489345267155315,0.018875303791230813
E3_VAR,0.019047654646642376,0.004015896164162647,0.016009094863128404,0.0022893133719552594,-2.095484749070887e+16,-1.7498763672494124e+16,28.048797919460092,28.065182441563007,1055.9790149624241,1057.42301854593,0.004695220549365905,0.002860004189379784,0.019047654646642265,0.004015896164162536,2.4674005953232245,4.181248339502581,0.5816138540423417,0.7771012132670895,0.6054095400104994,1.081768010743314,0.43506864351461905,0.5740995223851824,1.5246227289058325,1.2105554750903462,0.2908069270211709,0.3885506066335447,-0.07406922330248245,-0.06368754937219068,0.01067139080927293,-0.0018732990278318429
E3_STD,0.03670183565551666,0.06478849541883758,0.02638033218810376,0.0633372551784801,-1.7523676323825504e+16,-inf,28.24106028883704,28.428324216149843,1070.1786750104482,1082.5288799313369,0.003536238495529519,0.012529923718795263,0.03670183565551666,0.06478849541883769,1.412112941330727,6.811981805340808,0.29182783396184697,0.5367938529134559,0.17501968818899022,1.2084805484862247,0.20203842901596988,0.36532184201119355,0.9574416485151266,1.0782796038394984,0.14591391698092349,0.268396926456728,0.004501516264545091,-0.03181969930527484,0.013351034700978315,-0.17588456360000593
E3_LOG_ENE_ENT,0.035636642518551365,0.07026069674317503,0.023875735172469437,0.06885453198279479,-1.0052723349887104e+17,-1.2406679790533456e+16,28.230472557097094,28.44671144211954,1069.3696714649145,1083.9995309868377,0.0032643529668625795,0.013255840108081209,0.035636642518551476,0.07026069674317503,1.266370873280339,6.768534883402243,0.2790191230807899,0.550967262504074,0.1537690770397518,1.2399212879315304,0.1896888530086636,0.415022587279821,1.181559646629217,2.2618580523402185,0.13950956154039493,0.27548363125203706,0.008693295911861965,-0.036577989174533254,-0.0002452430001733674,-0.16904976552369733
