Model,Score
TK_rec_pr4_max_error_DT STA CV,0.4160493827160493
TK_rec_pr1_DT STA CV,0.4160493827160494
TK_rec_pr5_r2_dist_SVC STA CV,0.4160493827160494
TK_rec_pr0_coef_SVC STA CV,0.4166666666666667
TK_rec_pr0_r2_score_RF STA CV,0.4166666666666667
TK_rec_pr3_r2_dist_DT STA CV,0.4166666666666667
TK_rec_pr1_r2_score_KNN-7 STA,0.4172839506172839
TK_rec_pr3_r2_dist_SVC STA CV,0.4172839506172839
TK_rec_pr4_d2_pinball_score_KNN-5 STA,0.4172839506172839
TK_rec_pr4_explained_variance_LDA STA,0.4172839506172839
TK_rec_pr4_mean_absolute_percentage_error_KNN-7 STA,0.4172839506172839
TK_rec_pr4_r1_dist_DT STA CV,0.4172839506172839
TK_rec_pr4_Score_(LASSO)_Left_LDA STA,0.4172839506172839
TK_rec_pr2_r2_dist_SVC STA CV,0.4185185185185185
TK_rec_pr0_coef_QDA STA CV,0.4191358024691358
TK_rec_pr4_Score_(LASSO)_Left_RF STA CV,0.4191358024691358
TK_rec_pr6_coef_LDA STA CV,0.4191358024691358
TK_rec_pr0_RF STA CV,0.419753086419753
TK_rec_pr0_r2_score_LDA STA CV,0.419753086419753
TK_rec_pr1_r2_score_KNN-5 STA,0.419753086419753
TK_rec_pr4_coef_QDA STA,0.419753086419753
TK_rec_pr4_Coef_Left_QDA STA,0.419753086419753
TK_rec_pr6_QDA STA,0.419753086419753
TK_rec_pr1_lasso_QDA STA,0.4197530864197531
TK_rec_pr4_mean_absolute_percentage_error_QDA STA,0.4197530864197531
TK_rec_pr0_LDA STA CV,0.4203703703703703
TK_rec_pr1_RF STA CV,0.4209876543209876
TK_rec_pr4_SVC STA CV,0.4209876543209876
TK_rec_pr4_r2_score_DT STA CV,0.4209876543209876
TK_rec_pr0_r1_dist_RF STA CV,0.4216049382716049
TK_rec_pr0_coef_DT STA CV,0.421604938271605
TK_rec_pr5_DT STA CV,0.421604938271605
TK_rec_pr0_r1_dist_KNN-7 STA,0.4222222222222221
TK_rec_pr0_r1_dist_DT STA,0.4222222222222222
TK_rec_pr1_lasso_DT STA,0.4222222222222222
TK_rec_pr2_lasso_QDA STA,0.4222222222222222
TK_rec_pr2_r1_dist_DT STA CV,0.4222222222222222
TK_rec_pr4_QDA STA,0.4222222222222222
TK_rec_pr4_coef_SVC STA,0.4222222222222222
TK_rec_pr4_Coef_Left_SVC STA,0.4222222222222222
TK_rec_pr4_max_error_QDA STA,0.4222222222222222
TK_rec_pr1_r2_dist_QDA STA,0.4222222222222223
TK_rec_pr1_coef_DT STA CV,0.4228395061728395
TK_rec_pr6_lasso_DT STA CV,0.4228395061728395
TK_rec_pr6_r2_score_DT STA CV,0.4234567901234569
TK_rec_pr2_r2_score_QDA STA,0.4246913580246913
TK_rec_pr1_lasso_KNN-5 STA,0.4246913580246914
TK_rec_pr4_Coef_Left_DT STA,0.4246913580246914
TK_rec_pr5_coef_SVC STA,0.4246913580246914
TK_rec_pr5_r1_dist_DT STA,0.4246913580246914
TK_rec_pr6_r1_dist_QDA STA,0.4246913580246914
TK_rec_pr6_r2_dist_DT STA CV,0.4246913580246914
TK_rec_pr1_coef_RF STA CV,0.4253086419753086
TK_rec_pr5_lasso_SVC STA CV,0.4253086419753086
TK_rec_pr5_r1_dist_DT STA CV,0.4253086419753086
TK_rec_pr5_r2_score_SVC STA CV,0.4253086419753086
TK_rec_pr2_coef_RF STA CV,0.4259259259259258
TK_rec_pr1_r1_dist_DT STA CV,0.4259259259259259
TK_rec_pr4_R1_Left_DT STA CV,0.4259259259259259
TK_rec_pr0_r2_dist_KNN-7 STA,0.4271604938271604
TK_rec_pr4_mean_absolute_percentage_error_LDA STA CV,0.4271604938271604
TK_rec_pr0_r2_score_KNN-5 STA,0.4271604938271605
TK_rec_pr1_QDA STA,0.4271604938271605
TK_rec_pr1_coef_KNN-5 STA,0.4271604938271605
TK_rec_pr3_LDA STA,0.4271604938271605
TK_rec_pr3_QDA STA,0.4271604938271605
TK_rec_pr4_d2_absolute_error_score_RF STA,0.4271604938271605
TK_rec_pr4_r2_score_QDA STA,0.4271604938271605
TK_rec_pr6_KNN-7 STA,0.4271604938271605
TK_rec_pr3_RF STA CV,0.4277777777777778
TK_rec_pr4_lasso_LDA STA CV,0.4277777777777778
TK_rec_pr2_DT STA CV,0.428395061728395
TK_rec_pr6_SVC STA CV,0.428395061728395
TK_rec_pr6_DT STA CV,0.4290123456790123
TK_rec_pr1_coef_KNN-7 STA,0.4296296296296295
TK_rec_pr1_r2_score_DT STA CV,0.4296296296296295
TK_rec_pr4_mean_absolute_percentage_error_DT STA CV,0.4296296296296295
TK_rec_pr6_r1_dist_SVC STA CV,0.4296296296296295
TK_rec_pr0_QDA STA,0.4296296296296296
TK_rec_pr0_coef_QDA STA,0.4296296296296296
TK_rec_pr1_coef_QDA STA,0.4296296296296296
TK_rec_pr3_coef_KNN-7 STA,0.4296296296296296
TK_rec_pr3_coef_SVC STA,0.4296296296296296
TK_rec_pr4_d2_pinball_score_KNN-7 STA,0.4296296296296296
TK_rec_pr4_r1_dist_QDA STA,0.4296296296296296
TK_rec_pr4_R1_Left_QDA STA,0.4296296296296296
TK_rec_pr5_coef_DT STA,0.4296296296296296
TK_rec_pr4_coef_NB STA,0.4296296296296297
TK_rec_pr4_Coef_Left_NB STA,0.4296296296296297
TK_rec_pr5_coef_QDA STA,0.4296296296296297
TK_rec_pr4_d2_pinball_score_LDA STA CV,0.4302469135802468
TK_rec_pr2_r2_score_SVC STA CV,0.4302469135802469
TK_rec_pr1_r1_dist_LDA STA CV,0.4308641975308642
TK_rec_pr6_r1_dist_DT STA CV,0.4308641975308642
TK_rec_pr4_R2_Left_DT STA CV,0.4314814814814815
TK_rec_pr1_coef_SVC STA,0.4320987654320987
TK_rec_pr3_r1_dist_KNN-7 STA,0.4320987654320987
TK_rec_pr6_coef_DT STA,0.4320987654320987
TK_rec_pr5_coef_LDA STA CV,0.432716049382716
TK_rec_pr6_r2_dist_SVC STA CV,0.4327160493827161
TK_rec_pr4_DT STA CV,0.4333333333333333
TK_rec_pr2_lasso_SVC STA CV,0.4333333333333334
TK_rec_pr1_r2_dist_RF STA CV,0.4339506172839506
TK_rec_pr5_lasso_RF STA CV,0.4339506172839506
TK_rec_pr5_lasso_LDA STA CV,0.4339506172839507
TK_rec_pr0_coef_KNN-5 STA,0.4345679012345678
TK_rec_pr0_r1_dist_LDA STA,0.4345679012345678
TK_rec_pr1_LDA STA CV,0.4345679012345678
TK_rec_pr2_RF STA CV,0.4345679012345678
TK_rec_pr5_r1_dist_LDA STA CV,0.4345679012345678
TK_rec_pr0_r1_dist_QDA STA,0.4345679012345679
TK_rec_pr0_r2_dist_DT STA,0.4345679012345679
TK_rec_pr1_coef_DT STA,0.4345679012345679
TK_rec_pr3_coef_NB STA,0.4345679012345679
TK_rec_pr4_coef_DT STA,0.4345679012345679
TK_rec_pr4_mean_absolute_percentage_error_SVC STA,0.4345679012345679
TK_rec_pr5_coef_NB STA,0.4345679012345679
TK_rec_pr4_d2_pinball_score_DT STA CV,0.4351851851851851
TK_rec_pr1_lasso_LDA STA CV,0.4351851851851852
TK_rec_pr2_r2_dist_DT STA CV,0.4351851851851852
TK_rec_pr1_r2_dist_LDA STA CV,0.4358024691358024
TK_rec_pr5_LDA STA CV,0.4358024691358024
TK_rec_pr4_r2_dist_DT STA CV,0.4364197530864197
TK_rec_pr0_lasso_KNN-5 STA,0.437037037037037
TK_rec_pr0_r1_dist_NB STA,0.437037037037037
TK_rec_pr0_r2_score_LDA STA,0.437037037037037
TK_rec_pr2_lasso_DT STA,0.437037037037037
TK_rec_pr4_coef_RF STA,0.437037037037037
TK_rec_pr5_QDA STA,0.437037037037037
TK_rec_pr5_lasso_DT STA,0.437037037037037
TK_rec_pr1_r2_dist_KNN-5 STA,0.4370370370370371
TK_rec_pr1_r1_dist_RF STA CV,0.4376543209876543
TK_rec_pr2_LDA STA CV,0.4376543209876543
TK_rec_pr3_LDA STA CV,0.4376543209876543
TK_rec_pr2_r2_score_RF STA CV,0.4376543209876544
TK_rec_pr3_lasso_SVC STA CV,0.4382716049382715
TK_rec_pr2_NB STA,0.4395061728395061
TK_rec_pr4_Score_(LASSO)_Left_DT STA,0.4395061728395061
TK_rec_pr0_r2_dist_KNN-5 STA,0.4395061728395062
TK_rec_pr1_KNN-5 STA,0.4395061728395062
TK_rec_pr3_lasso_QDA STA,0.4395061728395062
TK_rec_pr4_Score_(LASSO)_Left_NB STA,0.4395061728395062
TK_rec_pr5_KNN-7 STA,0.4395061728395062
TK_rec_pr5_r2_dist_KNN-5 STA,0.4395061728395062
TK_rec_pr6_KNN-5 STA,0.4395061728395062
TK_rec_pr6_coef_QDA STA,0.4395061728395062
TK_rec_pr6_r2_dist_QDA STA,0.4395061728395062
TK_rec_pr3_r1_dist_RF STA CV,0.4401234567901234
TK_rec_pr4_mean_absolute_percentage_error_RF STA CV,0.4401234567901235
TK_rec_pr5_r2_score_RF STA CV,0.4401234567901235
def_vals_pr3_r2_score_SVC STA CV,0.4407407407407407
full_ga_class_results_SVC STA CV,0.4407407407407407
TK_rec_pr3_r2_score_SVC STA CV,0.4407407407407407
TK_rec_pr1_r2_dist_DT STA,0.4419753086419752
TK_rec_pr4_r2_dist_LDA STA CV,0.4419753086419752
TK_rec_pr4_R2_Left_LDA STA CV,0.4419753086419752
TK_rec_pr0_KNN-5 STA,0.4419753086419753
TK_rec_pr1_r1_dist_KNN-7 STA,0.4419753086419753
TK_rec_pr2_r2_score_DT STA,0.4419753086419753
TK_rec_pr3_r1_dist_QDA STA,0.4419753086419753
TK_rec_pr4_Coef_Left_RF STA,0.4419753086419753
TK_rec_pr5_r1_dist_KNN-5 STA,0.4419753086419753
def_vals_pr3_r2_score_QDA STA,0.4419753086419754
full_ga_class_results_QDA STA,0.4419753086419754
TK_rec_pr2_r1_dist_RF STA CV,0.4419753086419754
TK_rec_pr3_r2_score_QDA STA,0.4419753086419754
TK_rec_pr4_max_error_KNN-5 STA,0.4419753086419754
TK_rec_pr2_r2_dist_LDA STA CV,0.4425925925925926
TK_rec_pr3_r1_dist_LDA STA CV,0.4425925925925926
TK_rec_pr4_mean_squared_error_DT STA CV,0.4425925925925926
TK_rec_pr4_d2_pinball_score_RF STA CV,0.4432098765432098
TK_rec_pr5_r1_dist_RF STA CV,0.4432098765432098
TK_rec_pr6_r1_dist_LDA STA CV,0.4432098765432098
TK_rec_pr2_r1_dist_LDA STA CV,0.4432098765432099
TK_rec_pr4_max_error_RF STA CV,0.4438271604938271
TK_rec_pr3_lasso_RF STA CV,0.4444444444444443
TK_rec_pr6_r2_dist_LDA STA CV,0.4444444444444443
TK_rec_pr1_KNN-7 STA,0.4444444444444444
TK_rec_pr1_DT STA,0.4444444444444444
TK_rec_pr1_r2_dist_KNN-7 STA,0.4444444444444444
TK_rec_pr4_max_error_KNN-7 STA,0.4444444444444444
TK_rec_pr5_r2_dist_RF STA CV,0.4444444444444444
TK_rec_pr6_lasso_KNN-5 STA,0.4444444444444444
TK_rec_pr6_lasso_RF STA CV,0.4444444444444444
TK_rec_pr2_coef_DT STA,0.4444444444444445
TK_rec_pr3_r1_dist_KNN-5 STA,0.4444444444444445
TK_rec_pr2_r2_dist_RF STA CV,0.4450617283950617
TK_rec_pr3_r2_dist_RF STA CV,0.4456790123456791
TK_rec_pr2_lasso_RF STA CV,0.4462962962962963
TK_rec_pr4_mean_absolute_percentage_error_LDA STA,0.4469135802469135
TK_rec_pr4_r2_dist_KNN-7 STA,0.4469135802469135
TK_rec_pr4_R2_Left_KNN-7 STA,0.4469135802469135
TK_rec_pr5_r2_score_LDA STA CV,0.4469135802469135
def_vals_pr3_r2_score_KNN-5 STA,0.4469135802469136
full_ga_class_results_KNN-5 STA,0.4469135802469136
TK_rec_pr0_lasso_LDA STA,0.4469135802469136
TK_rec_pr1_lasso_SVC STA,0.4469135802469136
TK_rec_pr1_r1_dist_DT STA,0.4469135802469136
TK_rec_pr1_r2_score_QDA STA,0.4469135802469136
TK_rec_pr3_r2_score_KNN-5 STA,0.4469135802469136
TK_rec_pr4_KNN-7 STA,0.4469135802469136
TK_rec_pr4_d2_pinball_score_QDA STA,0.4469135802469136
TK_rec_pr5_r2_dist_LDA STA CV,0.4469135802469136
TK_rec_pr5_r2_score_KNN-5 STA,0.4469135802469136
TK_rec_pr6_coef_LDA STA,0.4469135802469136
TK_rec_pr6_r2_score_KNN-5 STA,0.4469135802469136
TK_rec_pr6_r2_score_RF STA CV,0.4475308641975308
TK_rec_pr4_r1_dist_LDA STA CV,0.4475308641975309
TK_rec_pr4_R1_Left_LDA STA CV,0.4475308641975309
TK_rec_pr6_r2_score_SVC STA CV,0.4481481481481482
TK_rec_pr3_r2_dist_LDA STA CV,0.4487654320987653
TK_rec_pr0_lasso_KNN-7 STA,0.4493827160493827
TK_rec_pr4_LDA STA,0.4493827160493827
TK_rec_pr5_lasso_QDA STA,0.4493827160493827
TK_rec_pr5_r1_dist_LDA STA,0.4493827160493827
TK_rec_pr5_r1_dist_KNN-7 STA,0.4493827160493827
TK_rec_pr5_r2_dist_KNN-7 STA,0.4493827160493827
TK_rec_pr2_DT STA,0.4493827160493828
TK_rec_pr1_lasso_RF STA CV,0.4499999999999999
TK_rec_pr6_lasso_SVC STA CV,0.4499999999999999
TK_rec_pr5_RF STA CV,0.4506172839506173
TK_rec_pr6_lasso_LDA STA CV,0.4506172839506173
TK_rec_pr4_mean_squared_error_LDA STA CV,0.4512345679012345
TK_rec_pr1_LDA STA,0.4518518518518518
TK_rec_pr1_coef_LDA STA,0.4518518518518518
TK_rec_pr2_r2_score_KNN-5 STA,0.4518518518518518
TK_rec_pr3_r2_score_RF STA CV,0.4518518518518518
TK_rec_pr4_mean_pinball_loss_DT STA CV,0.4518518518518518
TK_rec_pr5_r1_dist_QDA STA,0.4518518518518518
TK_rec_pr5_r2_dist_DT STA,0.4518518518518518
TK_rec_pr6_NB STA,0.4518518518518518
TK_rec_pr2_SVC STA,0.4518518518518519
TK_rec_pr2_r1_dist_DT STA,0.4518518518518519
TK_rec_pr2_r2_dist_DT STA,0.4518518518518519
TK_rec_pr3_KNN-5 STA,0.4518518518518519
TK_rec_pr4_RF STA CV,0.4518518518518519
TK_rec_pr5_coef_RF STA,0.4518518518518519
TK_rec_pr5_lasso_KNN-5 STA,0.4518518518518519
TK_rec_pr2_lasso_LDA STA CV,0.4524691358024692
full_ga_class_results_RF STA CV,0.4530864197530864
TK_rec_pr4_r2_score_LDA STA CV,0.4530864197530864
TK_rec_pr4_r2_dist_RF STA CV,0.4537037037037037
TK_rec_pr4_coef_LDA STA,0.4543209876543209
TK_rec_pr4_Coef_Left_LDA STA,0.4543209876543209
TK_rec_pr4_max_error_NB STA,0.4543209876543209
TK_rec_pr5_r2_score_KNN-7 STA,0.4543209876543209
TK_rec_pr1_r1_dist_QDA STA,0.454320987654321
TK_rec_pr2_r2_dist_QDA STA,0.454320987654321
TK_rec_pr3_lasso_LDA STA CV,0.454320987654321
TK_rec_pr3_lasso_KNN-7 STA,0.454320987654321
TK_rec_pr3_r2_dist_QDA STA,0.454320987654321
TK_rec_pr4_DT STA,0.454320987654321
TK_rec_pr4_mean_squared_error_RF STA CV,0.454320987654321
TK_rec_pr4_r2_score_DT STA,0.454320987654321
TK_rec_pr4_Score_(LASSO)_Left_RF STA,0.454320987654321
TK_rec_pr5_LDA STA,0.454320987654321
TK_rec_pr6_r1_dist_KNN-7 STA,0.454320987654321
TK_rec_pr4_r2_score_RF STA CV,0.4561728395061727
def_vals_pr3_r2_score_RF STA CV,0.4561728395061728
