Feature            Score (R^2) Left    Score (R^2) Right    Mean-Mean left    Var-Mean left    Mean-Mean right    Var-Mean right    Mean-Var left    Var-Var left    Mean-Var right    Var-Var right
E5_MEAN_FREQ            1.01293e-05          0.00629192        0.0334573          0.0501962        0.0299419          0.0745459         0.886466       0.258105            0.896328         0.28714
E5_OCC_BAND             0.0022743            0.0072304         0.0334037          0.0498245        0.03158            0.0744609         0.887962       0.256513            0.900304         0.286578
E5_POWER_BAND           0.000100652          0.00145825        0.0335204          0.0494955        0.0331515          0.0745579         0.889285       0.255251            0.902809         0.285913
E5_WLT_ENT              0.000292459          0.0247933         0.0345923          0.049444         0.0349514          0.0749411         0.890812       0.255029            0.903714         0.284904
E5_KURT                 0.0062251            0.0472297         0.0377043          0.0500973        0.0362524          0.0754531         0.888089       0.253813            0.901815         0.283843
E5_SKEW                 0.000922713          0.0169079         0.0403865          0.0505246        0.0387678          0.075918          0.885263       0.252659            0.899835         0.282429
E5_VAR                  0.0150057            0.0395608         0.0429022          0.0509271        0.0400717          0.0765978         0.883267       0.25105             0.899615         0.28104
E5_STD                  0.010519             0.00207458        0.0451887          0.051184         0.0428073          0.0773349         0.881222       0.24955             0.897911         0.279773
E5_LOG_ENE_ENT          0.000384879          0.00012823        0.0446903          0.0509419        0.0437221          0.0770261         0.881308       0.24869             0.89924          0.278217
E6_BP_ALPHA             0.000618279          0.0107124         0.0440812          0.0506211        0.0438444          0.0764782         0.881614       0.247018            0.900629         0.276757
E6_BP_BETA              4.51775e-06          0.0115419         0.045799           0.0507519        0.0453009          0.0765409         0.882423       0.246851            0.898933         0.275289
E6_BP_GAMMA             0.000214988          0.000290451       0.047329           0.0507519        0.0466692          0.0763743         0.882978       0.24634             0.898667         0.273786
E6_BP_DELTA             0.00157585           0.00249406        0.0482666          0.0505886        0.0478937          0.0761199         0.88513        0.245777            0.899065         0.271732
E6_BP_THETA             0.000132484          0.00120975        0.0494152          0.0505588        0.04974            0.0761061         0.885172       0.244811            0.898933         0.269853
E6_RTP                  0.0008877            0.00428931        0.0508252          0.0505002        0.0514309          0.0761031         0.886414       0.244561            0.897998         0.268263
E6_SPEC_MOM             0.00125157           0.0296748         0.0524295          0.0505082        0.0527259          0.07616           0.885927       0.24449             0.896311         0.267001
E6_SPEC_EDGE            0.000179494          0.00868356        0.0541586          0.050522         0.0539006          0.0761311         0.885185       0.24429             0.89473          0.265833
E6_SPEC_ENT             0.00372033           0.024332          0.0553562          0.0504535        0.0545255          0.0760602         0.884794       0.24366             0.89427          0.264324
E6_SLOPE                0.013163             0.00106435        0.0566375          0.050382         0.055925           0.075999          0.883991       0.242504            0.892816         0.262888
E6_INTERCEPT            0.000473753          0.00146688        0.0560033          0.0501882        0.0543135          0.0760016         0.883752       0.241179            0.894104         0.261903
E6_MEAN_FREQ            0.00251914           0.0158242         0.055523           0.0499094        0.0532718          0.0757578         0.883816       0.239777            0.896043         0.261356
E6_OCC_BAND             0.000961519          0.0189462         0.052633           0.0508414        0.0509055          0.0763918         0.882568       0.238947            0.894242         0.260201
E6_POWER_BAND           7.91882e-06          0.00311115        0.0504082          0.0512028        0.0484088          0.0768476         0.882404       0.237697            0.89397          0.258852
E6_WLT_ENT              0.00456645           0.00735031        0.049066           0.0512233        0.0460861          0.0770884         0.883773       0.236239            0.894426         0.256944
E6_KURT                 0.000120884          3.82574e-08       0.04723            0.0514812        0.0434232          0.0775434         0.883569       0.23467             0.894596         0.255485
E6_SKEW                 0.00107874           0.0188248         0.0450557          0.0518766        0.04052            0.0782071         0.884024       0.233793            0.893395         0.254192
E6_VAR                  0.00152227           0.0392977         0.0419466          0.0527366        0.0384892          0.0786704         0.881514       0.23334             0.891607         0.253213
E6_STD                  0.000587192          0.0122031         0.0390083          0.0534387        0.0362338          0.0790017         0.879137       0.232918            0.889793         0.252181
E6_LOG_ENE_ENT          0.00543418           0.0297343         0.0363811          0.0540183        0.0347972          0.0793025         0.877105       0.232117            0.889408         0.250982
E7_BP_ALPHA             0.0227971            2.5098e-05        0.0339361          0.0545537        0.0321109          0.0798798         0.875057       0.231251            0.888453         0.249863
E7_BP_BETA              0.000303109          0.00634254        0.033579           0.0542789        0.0326423          0.0795346         0.875255       0.231527            0.890626         0.25068
E7_BP_GAMMA             0.0010598            0.010479          0.033026           0.0540187        0.033262           0.0791833         0.875354       0.23077             0.892905         0.250877
E7_BP_DELTA             0.00489451           0.0164185         0.0350993          0.0543742        0.0347827          0.0796113         0.874907       0.229612            0.892535         0.24982
E7_BP_THETA             1.09418e-07          0.00577878        0.0357518          0.054158         0.0362182          0.0796234         0.876334       0.229163            0.894143         0.249277
E7_RTP                  0.00179348           0.00645276        0.035845           0.0538575        0.0375275          0.0795325         0.877654       0.228709            0.897607         0.250008
E7_SPEC_MOM             5.32027e-05          0.00128789        0.0360239          0.0535941        0.0388605          0.0795827         0.878796       0.228739            0.899999         0.250893
E7_SPEC_EDGE            0.000514758          0.022313          0.0369365          0.0535136        0.0402292          0.0798041         0.880725       0.229628            0.900966         0.251115
E7_SPEC_ENT             0.00489589           0.0429109         0.0392015          0.053943         0.041241           0.0800311         0.879928       0.228669            0.899471         0.250323
E7_SLOPE                0.000807094          0.0143292         0.041141           0.0542002        0.0430899          0.0803589         0.878444       0.227717            0.898381         0.249334
E7_INTERCEPT            0.0115899            0.0336739         0.042903           0.0544169        0.0441746          0.0806829         0.877925       0.226525            0.898085         0.24844
E7_MEAN_FREQ            0.0123333            0.00123776        0.0445241          0.0545266        0.0461418          0.0811699         0.877093       0.225339            0.897008         0.247347
E7_OCC_BAND             0.00124442           0.000508234       0.044291           0.0542702        0.0462212          0.0808711         0.877388       0.224298            0.89812          0.246581
E7_POWER_BAND           0.000475577          0.00523165        0.0437239          0.0540115        0.0464004          0.0804222         0.878259       0.22295             0.898738         0.245185
E7_WLT_ENT              0.0021349            0.0330036         0.0453279          0.0542953        0.0474469          0.0807171         0.876289       0.224154            0.897178         0.245142
E7_KURT                 0.000514093          0.00328601        0.0461331          0.0541139        0.0486553          0.0807507         0.87634        0.223145            0.896701         0.244018
E7_SKEW                 0.00245679           0.00553464        0.0461972          0.0538456        0.0496843          0.080585          0.877238       0.221847            0.897159         0.242729
E7_VAR                  0.000282744          7.34233e-06       0.0468471          0.0536898        0.0505891          0.080435          0.877511       0.220558            0.897528         0.241486
E7_STD                  0.000178849          0.0174772         0.0477157          0.0535711        0.052078           0.0805463         0.877875       0.219782            0.896248         0.240683
E7_LOG_ENE_ENT          0.00421918           0.0510689         0.0496307          0.0538105        0.0529479          0.0808238         0.874299       0.220392            0.89465          0.241643
E8_BP_ALPHA             1.87247e-05          0.0212013         0.0515338          0.0540249        0.0542119          0.08096           0.871303       0.220946            0.89298          0.242295
E8_BP_BETA              0.00267989           0.0359919         0.0530994          0.0541209        0.054555           0.0811771         0.868371       0.221131            0.893356         0.242646
E8_BP_GAMMA             0.0129295            0.00710076        0.0545652          0.0542155        0.0559633          0.0813861         0.866467       0.221535            0.890991         0.24313
E8_BP_DELTA             0.000928481          0.00673853        0.0542858          0.0539961        0.0549094          0.0812178         0.866717       0.221623            0.892836         0.243627
E8_BP_THETA             0.000840499          0.00802781        0.0541981          0.0537334        0.0538039          0.081021          0.86696        0.220912            0.894572         0.243428
E8_RTP                  0.00555755           0.0206366         0.0517959          0.0544561        0.0521088          0.0817057         0.865468       0.22062             0.893889         0.242923
E8_SPEC_MOM             5.25413e-05          0.00737358        0.0508805          0.0543906        0.0504792          0.0818959         0.866602       0.220169            0.894961         0.242165
E8_SPEC_EDGE            0.00212262           0.00759782        0.0505109          0.0541498        0.0490672          0.0819332         0.867621       0.219431            0.897608         0.242262
E8_SPEC_ENT             0.000182021          0.00217865        0.0501256          0.0539245        0.0476859          0.0821284         0.868498       0.218858            0.899206         0.242106
